year,month,day,name,title,query,share_text,url,alternate_url,high_res_url,high_res_width,high_res_height
1999,10,31,halloween-1999,Halloween 1999,Halloween 1999,Halloween 1999 #GoogleDoodle,//www.google.com/logos/1999/googlepump.gif,,//www.google.com/logos/1999/googlepump.gif,306.0,130.0
1999,11,23,thanksgiving-1999,Thanksgiving 1999,Thanksgiving 1999,Thanksgiving 1999 #GoogleDoodle,//www.google.com/logos/1999/turkey_home2.gif,,//www.google.com/logos/1999/turkey_home2.gif,276.0,128.0
1999,11,30,uncle-sam-search-1,'Uncle Sam' Search #1,'Uncle Sam' Search #1,'Uncle Sam' Search #1 #GoogleDoodle,//www.google.com/logos/1999/unclesam2.gif,,//www.google.com/logos/1999/unclesam2.gif,291.0,102.0
1999,11,30,uncle-sam-search-2,'Uncle Sam' Search #2,'Uncle Sam' Search #2,'Uncle Sam' Search #2 #GoogleDoodle,//www.google.com/logos/1999/unclesam.gif,,//www.google.com/logos/1999/unclesam.gif,291.0,102.0
1999,12,25,happy-holidays-from-google-1999,Happy Holidays from Google 1999,Happy Holidays from Google 1999,Happy Holidays from Google 1999 #GoogleDoodle,//www.google.com/logos/1999/snowmanC.gif,,//www.google.com/logos/1999/snowmanC.gif,338.0,121.0
2000,1,1,happy-new-year-2000,Happy New Year 2000!,Happy New Year 2000!,Happy New Year 2000! #GoogleDoodle,//www.google.com/logos/2000/logo_newyear.gif,,//www.google.com/logos/2000/logo_newyear.gif,320.0,130.0
2000,2,2,groundhogs-day-2000,Groundhog's Day 2000,Groundhog's Day 2000,Groundhog's Day 2000 #GoogleDoodle,//www.google.com/logos/2000/groundhog.gif,,//www.google.com/logos/2000/groundhog.gif,308.0,95.0
2000,2,14,valentines-day-2000,Valentine's Day 2000,Valentine's Day 2000,Valentine's Day 2000 #GoogleDoodle,//www.google.com/logos/2000/valentine.gif,,//www.google.com/logos/2000/valentine.gif,322.0,164.0
2000,3,17,st-patricks-day-2000,St. Patrick's Day 2000,St. Patrick's Day,St. Patrick's Day 2000 #GoogleDoodle,//www.google.com/logos/2000/stpattys.gif,,//www.google.com/logos/2000/stpattys.gif,290.0,118.0
2000,4,23,happy-easter-2000,Happy Easter 2000,Happy Easter 2000,Happy Easter 2000 #GoogleDoodle,//www.google.com/logos/2000/easter_logo.jpg,,//www.google.com/logos/2000/easter_logo.jpg,277.0,114.0
2000,5,1,google-aliens-2000-1,Google Aliens 2000 - 1,Google Aliens 2000 - 1,Google Aliens 2000 - 1 #GoogleDoodle,//www.google.com/logos/2000/doodle_alien1.gif,,//www.google.com/logos/2000/doodle_alien1.gif,371.0,115.0
2000,5,2,google-aliens-2000-2,Google Aliens 2000 - 2,Google Aliens 2000 - 2,Google Aliens 2000 - 2 #GoogleDoodle,//www.google.com/logos/2000/doodle_alien2.gif,,//www.google.com/logos/2000/doodle_alien2.gif,337.0,130.0
2000,5,3,google-aliens-2000-3,Google Aliens 2000 - 3,Google Aliens 2000 - 3,Google Aliens 2000 - 3 #GoogleDoodle,//www.google.com/logos/2000/doodle_alien3.gif,,//www.google.com/logos/2000/doodle_alien3.gif,354.0,130.0
2000,5,4,google-aliens-2000-4,Google Aliens 2000 - 4,Google Aliens 2000 - 4,Google Aliens 2000 - 4 #GoogleDoodle,//www.google.com/logos/2000/doodle_alien4.jpg,,//www.google.com/logos/2000/doodle_alien4.jpg,349.0,150.0
2000,5,5,google-aliens-2000-5,Google Aliens 2000 - 5,Google Aliens 2000 - 5,Google Aliens 2000 - 5 #GoogleDoodle,//www.google.com/logos/2000/doodle_alien5.jpg,,//www.google.com/logos/2000/doodle_alien5.jpg,330.0,130.0
2000,5,14,mothers-day-2000,Mother's Day 2000,Mother's Day 2000,Mother's Day 2000 #GoogleDoodle,//www.google.com/logos/2000/moms2000.gif,,//www.google.com/logos/2000/moms2000.gif,314.0,107.0
2000,6,18,fathers-day-2000,Father's Day 2000,Father's Day 2000,Father's Day 2000 #GoogleDoodle,//www.google.com/logos/2000/Title_Fathers.gif,,//www.google.com/logos/2000/Title_Fathers.gif,286.0,111.0
2000,7,1,4th-of-july-2000-1,4th of July 2000 - 1,4th of July 2000 - 1,4th of July 2000 - 1 #GoogleDoodle,//www.google.com/logos/2000/doodle2_fourth1.gif,,//www.google.com/logos/2000/doodle2_fourth1.gif,369.0,112.0
2000,7,2,4th-of-july-2000-2,4th of July 2000 - 2,4th of July 2000 - 2,4th of July 2000 - 2 #GoogleDoodle,//www.google.com/logos/2000/doodle2_fourth2.gif,,//www.google.com/logos/2000/doodle2_fourth2.gif,388.0,105.0
2000,7,3,4th-of-july-2000-3,4th of July 2000 - 3,4th of July 2000 - 3,4th of July 2000 - 3 #GoogleDoodle,//www.google.com/logos/2000/doodle2_fourth3.jpg,,//www.google.com/logos/2000/doodle2_fourth3.jpg,368.0,128.0
2000,7,4,4th-of-july-2000-4,4th of July 2000 - 4,4th of July 2000 - 4,4th of July 2000 - 4 #GoogleDoodle,//www.google.com/logos/2000/doodle2_fourth4.gif,,//www.google.com/logos/2000/doodle2_fourth4.gif,342.0,106.0
2000,7,14,bastille-day-2000,Bastille Day 2000,Bastille Day 2000,Bastille Day 2000 #GoogleDoodle,//www.google.com/logos/2000/Title_Bastille.gif,,//www.google.com/logos/2000/Title_Bastille.gif,280.0,130.0
2000,9,15,2000-summer-olympic-games-in-sydney-opening-ceremony,2000 Summer Olympic Games in Sydney - Opening Ceremony,2000 Summer Olympic Games in Sydney - Opening Ceremony,2000 Summer Olympic Games in Sydney - Opening Ceremony #GoogleDoodle,//www.google.com/logos/2000/olympics_doodle1.gif,,//www.google.com/logos/2000/olympics_doodle1.gif,330.0,125.0
2000,9,16,2000-summer-olympic-games-in-sydney-kayak,2000 Summer Olympic Games in Sydney - Kayak,2000 Summer Olympic Games in Sydney - Kayak,2000 Summer Olympic Games in Sydney - Kayak #GoogleDoodle,//www.google.com/logos/2000/olympics_doodle2.gif,,//www.google.com/logos/2000/olympics_doodle2.gif,350.0,125.0
2000,9,17,2000-summer-olympic-games-in-sydney-gymnastics,2000 Summer Olympic Games in Sydney - Gymnastics,2000 Summer Olympic Games in Sydney - Gymnastics,2000 Summer Olympic Games in Sydney - Gymnastics #GoogleDoodle,//www.google.com/logos/2000/olympics_doodle3.gif,,//www.google.com/logos/2000/olympics_doodle3.gif,304.0,125.0
2000,9,18,2000-summer-olympic-games-in-sydney-archery,2000 Summer Olympic Games in Sydney - Archery,2000 Summer Olympic Games in Sydney - Archery,2000 Summer Olympic Games in Sydney - Archery #GoogleDoodle,//www.google.com/logos/2000/olympics_doodle4.gif,,//www.google.com/logos/2000/olympics_doodle4.gif,380.0,125.0
2000,9,20,2000-summer-olympic-games-in-sydney-track-field,2000 Summer Olympic Games in Sydney - Track & Field,2000 Summer Olympic Games in Sydney - Track & Field,2000 Summer Olympic Games in Sydney - Track & Field #GoogleDoodle,//www.google.com/logos/2000/olympic_doodle5.gif,,//www.google.com/logos/2000/olympic_doodle5.gif,385.0,110.0
2000,9,20,2000-summer-olympic-games-in-sydney-diving,2000 Summer Olympic Games in Sydney - Diving,2000 Summer Olympic Games in Sydney - Diving,2000 Summer Olympic Games in Sydney - Diving #GoogleDoodle,//www.google.com/logos/2000/olympics_doodle6.gif,,//www.google.com/logos/2000/olympics_doodle6.gif,375.0,125.0
2000,9,21,2000-summer-olympic-games-in-sydney-cycling,2000 Summer Olympic Games in Sydney - Cycling,2000 Summer Olympic Games in Sydney - Cycling,2000 Summer Olympic Games in Sydney - Cycling #GoogleDoodle,//www.google.com/logos/2000/olympics_doodle7.gif,,//www.google.com/logos/2000/olympics_doodle7.gif,289.0,135.0
2000,9,22,2000-summer-olympic-games-in-sydney-weightlifting,2000 Summer Olympic Games in Sydney - Weightlifting,2000 Summer Olympic Games in Sydney - Weightlifting,2000 Summer Olympic Games in Sydney - Weightlifting #GoogleDoodle,//www.google.com/logos/2000/olympics_doodle8.gif,,//www.google.com/logos/2000/olympics_doodle8.gif,345.0,110.0
2000,9,23,2000-summer-olympic-games-in-sydney-soccer,2000 Summer Olympic Games in Sydney - Soccer,2000 Summer Olympic Games in Sydney - Soccer,2000 Summer Olympic Games in Sydney - Soccer #GoogleDoodle,//www.google.com/logos/2000/olympics_doodle9.gif,,//www.google.com/logos/2000/olympics_doodle9.gif,375.0,125.0
2000,9,24,2000-summer-olympic-games-in-sydney-basketball,2000 Summer Olympic Games in Sydney - Basketball,2000 Summer Olympic Games in Sydney - Basketball,2000 Summer Olympic Games in Sydney - Basketball #GoogleDoodle,//www.google.com/logos/2000/olympics_doodle10.gif,,//www.google.com/logos/2000/olympics_doodle10.gif,370.0,125.0
2000,9,25,2000-summer-olympic-games-in-sydney-closing-ceremony,2000 Summer Olympic Games in Sydney - Closing Ceremony,2000 Summer Olympic Games in Sydney - Closing Ceremony,2000 Summer Olympic Games in Sydney - Closing Ceremony #GoogleDoodle,//www.google.com/logos/2000/olympics_doodle11.gif,,//www.google.com/logos/2000/olympics_doodle11.gif,360.0,125.0
2000,10,31,halloween-2000-by-guest-illustrator-lorie-loeb,Halloween 2000 by guest illustrator Lorie Loeb,Halloween 2000 by guest illustrator Lorie Loeb,Halloween 2000 by guest illustrator Lorie Loeb #GoogleDoodle,//www.google.com/logos/2000/halloween_loop.gif,,//www.google.com/logos/2000/halloween_loop.gif,305.0,115.0
2000,11,7,us-vote-2000,US Vote 2000,US Vote 2000,US Vote 2000 #GoogleDoodle,//www.google.com/logos/2000/election_logo.gif,,https://lh3.googleusercontent.com/PN4LXfD8jOcOscHZWgk679u9HzdfeyDIAGrgsJ4tMDqF8-zNrK-Ei1dN7qKuCHq7CxRIsEXbBLAYd-7NK-lqj-LSBu0M9fZpmgxDr6gw=s660,0.0,0.0
2000,11,15,shichi-go-san-2000,Shichi-go-san 2000,Shichi-go-san 2000,Shichi-go-san 2000 #GoogleDoodle,//www.google.com/logos/2000/shichigosan.gif,,//www.google.com/logos/2000/shichigosan.gif,305.0,115.0
2000,11,23,thanksgiving-2000,Thanksgiving 2000,Thanksgiving 2000,Thanksgiving 2000 #GoogleDoodle,//www.google.com/logos/2000/thanksgiving00_logo.gif,,//www.google.com/logos/2000/thanksgiving00_logo.gif,305.0,135.0
2000,12,22,happy-holidays-from-google-2000,Happy Holidays from Google 2000,Happy Holidays from Google 2000,Happy Holidays from Google 2000 #GoogleDoodle,//www.google.com/logos/2000/holiday_penguins00.gif,,//www.google.com/logos/2000/holiday_penguins00.gif,335.0,115.0
2001,1,1,happy-new-year-2001,Happy New Year 2001!,Happy New Year 2001!,Happy New Year 2001! #GoogleDoodle,//www.google.com/logos/2001/newyear01.gif,,//www.google.com/logos/2001/newyear01.gif,393.0,115.0
2001,1,24,lunar-new-year-2001,Lunar New Year 2001,Chinese New Year,Lunar New Year 2001 #GoogleDoodle,//www.google.com/logos/2001/lunarnewyear.gif,,//www.google.com/logos/2001/lunarnewyear.gif,315.0,115.0
2001,2,14,valentines-day-2001,Valentine's Day 2001,Valentine's Day,Valentine's Day 2001 #GoogleDoodle,//www.google.com/logos/2001/valentine01.gif,,//www.google.com/logos/2001/valentine01.gif,342.0,115.0
2001,3,9,holi-festival-2001,Holi Festival 2001,Holi Festival 2001,Holi Festival 2001 #GoogleDoodle,//www.google.com/logos/2001/holi.gif,,//www.google.com/logos/2001/holi.gif,305.0,115.0
2001,3,17,st-patricks-day-2001,St. Patrick's Day 2001,St. Patrick's Day,St. Patrick's Day 2001 #GoogleDoodle,//www.google.com/logos/2001/stpatricks.gif,,//www.google.com/logos/2001/stpatricks.gif,320.0,115.0
2001,4,22,earth-day-2001,Earth Day 2001,Earth Day,Earth Day 2001 #GoogleDoodle,//www.google.com/logos/2001/earthday.gif,,//www.google.com/logos/2001/earthday.gif,305.0,115.0
2001,5,13,mothers-day-2001,Mother's Day 2001,Mother's Day,Mother's Day 2001 #GoogleDoodle,//www.google.com/logos/2001/mom2001.gif,,//www.google.com/logos/2001/mom2001.gif,315.0,110.0
2001,6,17,fathers-day-2001,Father's Day 2001,Father's Day,Father's Day 2001 #GoogleDoodle,//www.google.com/logos/2001/fathersday01.gif,,//www.google.com/logos/2001/fathersday01.gif,320.0,115.0
2001,7,1,canada-day-2001,Canada Day 2001,Canada Day,Canada Day 2001 #GoogleDoodle,//www.google.com/logos/2001/canada_day.gif,,//www.google.com/logos/2001/canada_day.gif,330.0,120.0
2001,7,4,4th-of-july-2001,4th of July 2001,July 4th,4th of July 2001 #GoogleDoodle,//www.google.com/logos/2001/july4.gif,,//www.google.com/logos/2001/july4.gif,305.0,135.0
